2025-09-15 15:14:32,718; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:14:48,831; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:15:04,800; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:15:41,087; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:16:12,281; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:16:18,843; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:17:38,905; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:17:50,917; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:18:24,722; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:18:39,522; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:40:07,288; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:40:07,288; INFO; Enrichment source file loaded: sources/ioc_list.json
2025-09-15 15:40:18,091; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:40:18,091; INFO; Enrichment source file loaded: sources/ioc_list.json
2025-09-15 15:40:26,951; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:40:26,952; INFO; Enrichment source file loaded: sources/ioc_list.json
2025-09-15 15:40:47,437; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:40:47,437; INFO; Enrichment source file loaded: sources/ioc_list.json
2025-09-15 15:43:51,218; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:43:51,234; INFO; Enrichment source file loaded: sources/ioc_list.json
2025-09-15 15:44:08,091; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:44:08,091; INFO; Enrichment source file loaded: sources/ioc_list.json
2025-09-15 15:44:32,237; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:44:32,237; INFO; Enrichment source file loaded: sources/ioc_list.json
2025-09-15 15:44:44,005; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:44:44,007; INFO; Enrichment source file loaded: sources/ioc_list.json
2025-09-15 15:44:48,078; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:44:48,079; INFO; Enrichment source file loaded: sources/ioc_list.json
2025-09-15 15:45:11,997; INFO; Alert file path: alerts/sentinel.json
2025-09-15 15:45:12,000; INFO; Enrichment source file loaded: sources/ioc_list.json
2025-09-15 15:45:12,000; INFO; Indicator enriched: 1.2.3.4
